id,website,topic,subtopic,term,positive/negative,new_terms
11,chegg.com,privacy policy,user information collection,"We may collect certain information automatically when you use the Services including your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, details about your browser, operating system or device, location information, Internet or mobile service provider, pages that you visit before, during and after using the Services, information about the links you click, and other information about how you use the Services, including information collected from interactive services (including our e-Reader), such as notes you take and engagement during study sessions.",,address user advertising detail cookie interactive mac link operating automatically provider note click browser use service certain unique location may carrier take engagement setting information protocol identifier mobile collect session including system page visit study collected internet device using ip
12,chegg.com,privacy policy,user information collection,"In addition, we may automatically collect data regarding your use of our Services, such as the types of content you interact with and the frequency and duration of your activities and we may combine your information with information that other people provide when they use our Services, including information about you when they tag you.",,data people provide automatically duration interact use service frequency may content information combine activity addition collect including type tag regarding
13,chegg.com,privacy policy,user information collection,"We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (“Technologies”) to automatically collect information through the Services.",,advertising functionality storage well provide automatically cooky technology use service may content third information collect local pixel party tag
14,chegg.com,privacy policy,user information collection,"Technologies are essentially small data files placed on your computer, tablet, mobile phone, or other devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services.",,file allow data phone piece placed technology u interact essentially service certain information whenever mobile small visit tablet partner device record computer
15,chegg.com,privacy policy,user information collection,"These cookies are strictly necessary to provide you with services available through our Websites and to use some of its features, such as access to secure areas and these include cookies that ensure security, prevent fraud, and debug where your data can be used to monitor for and prevent fraudulent activity, and ensure systems and processes work properly and securely and that technically deliver ads or content so your device can receive and send information that allows you to see and interact with ads and content.",,data used strictly send properly work available ensure debug provide deliver include necessary cooky interact see use service process access content security technically ad receive information website monitor fraudulent activity fraud feature system area prevent device securely allows secure
16,chegg.com,privacy policy,user information collection,"Cookies, device identifiers, or other information can be stored or accessed on your device for the purposes presented to you.",,presented purpose device cooky accessed stored information identifier
17,chegg.com,privacy policy,user information collection,"Ads can be shown to you based on the content you’re viewing, the app you’re using, your approximate location, or your device type and also a profile can be built about you and your interests to show you personalized ads that are relevant to you. The performance and effectiveness of ads that you see or interact with can be measured.",,viewing personalized relevant profile interact based see location shown content app ad performance show using measured device effectiveness type interest built also approximate
18,chegg.com,privacy policy,user information collection,Data from offline data sources can be combined with your online activity in support of one or more purposes and different devices can be determined as belonging to you or your household in support of one or more of purposes.,,different data determined offline online support one source purpose belonging combined activity household device
19,chegg.com,privacy policy,user information collection," We may obtain information about you from other sources, including through third-party services and organizations to supplement information provided by you, as example, if you access our Services through a third-party application, such as an app store, a third-party login service, or a social networking site or you log in to a third party’s service using your credentials, we may collect information about you from that third-party application that you have made public via your privacy settings. ",,login privacy site credential organization made obtain provided service access may application source store social networking third app setting information via collect including public party log example supplement using
20,chegg.com,privacy policy,user information collection,"Information we collect through these services may include your name, your user identification number, your user name, location, gender, birth date, email address or other contact information, profile picture, activities such as test completion and results, and your contacts stored in that service.",,email address user number result name gender include profile stored service location identification may test birth information picture activity collect completion date contact
21,chegg.com,privacy policy,user information collection,"This supplemental information allows us to verify information that you have provided to us and to enhance our ability to provide you with information about our business, products, and Services",,ability verify product provide u provided service information supplemental allows enhance business
22,chegg.com,privacy policy,user information collection,We may also use Google Analytics and other service providers to collect information regarding visitor behavior and visitor demographics on our Services.,,demographic behavior provider use service may analytics visitor information collect also regarding google
23,chegg.com,privacy policy,how use collected information,"We use your information for a variety of business purposes, including to Managing your information and accounts; Providing access to certain areas, functionalities, and features of our Services including providing access to eBooks;Support the shipping, tracking and recovery of your orders (such as textbooks) and/or other products;",,account textbook functionality product tracking shipping managing order support ebooks recovery use service certain access providing purpose information feature including area variety business
24,chegg.com,privacy policy,how use collected information,"We use your information for a variety of business purposes, including to Communicating with you about your account, activities on our Services and policy changes; Undertaking activities to verify or maintain the quality or safety of a service or device;Researching and developing products, services, marketing or security procedures to improve their performance, resilience, reliability or efficiency;Improving, upgrading or enhancing our Services or device;Developing new products and Services;Ensuring internal quality control;Verifying your identity and preventing fraud;Debugging to identify and repair errors that impair existing intended functionality;Enforcing our terms and policies; and Complying with our legal obligations, protecting your vital interest, or as may be required for the public good.",,improving account existing quality preventing term verify product functionality required intended use information developing repair good internal including public new enhancing maintain researching error impair safety purpose variety policy interest obligation vital undertaking resilience ensuring may security legal performance reliability fraud efficiency identify complying business verifying upgrading debugging service marketing activity improve procedure protecting identity communicating control device enforcing change
25,chegg.com,privacy policy,how use collected information,"We use your information for a variety of business purposes, including to Processing your financial information and other payment methods for products or Services purchased; Providing advertising, analytics and marketing services; Processing transactions and applications; Detecting security incidents, protecting against malicious, deceptive, fraudulent or illegal activity, and prosecuting those responsible for that activity; Measuring interest and engagement in our Services and short-term, transient use, such as contextual customization of ads; and Furnishing you with customized materials about offers, products, and Services that may be of interest,  including new content or Services; Auditing relating to interactions, transactions and other compliance activities; and Other purposes you consent to, are notified of, or are disclosed when you provide personal information.",,auditing material advertising transaction illegal disclosed malicious prosecuting deceptive interaction product business provide responsible customized detecting furnishing method compliance customization transient offer payment measuring notified use service relating incident application providing purpose processing analytics security marketing content engagement ad information fraudulent activity contextual may personal protecting including variety new purchased interest financial consent
26,chegg.com,privacy policy,how use collected information,"We may use technologies considered automated decision making or profiling. We will not make automated decisions about you that would significantly affect you, unless such a decision is necessary as part of a contract we have with you, we have your consent, or we are permitted by law to use such technology. You may escalate any concerns you have by contacting us below.",,affect concern would escalate part make necessary considered technology u decision use may contacting contract law permitted significantly unless automated profiling making consent
27,chegg.com,privacy policy,how use collected information,"We may disclose your information, including personal information upon request of an academic institution connected to an investigation into academic integrity.",,institution personal academic request may including integrity connected investigation upon information disclose
28,chegg.com,privacy policy,how use collected information," We may use personal information and other data about you to create de-identified and aggregated information, such as de-identified demographic information, de-identified location information, information about the computer or device from which you access our Services, or other analyses we create.",,data analysis demographic create use service location access may aggregated information personal device computer
29,chegg.com,privacy policy,how use collected information,The Services may offer referral features whereby users may invite friends to use the Services. We will invite the referred individual through a one-time email and will not use this information for other purposes.,,individual whereby email user referral offer use friend service may purpose information referred feature invite
30,chegg.com,privacy policy,how use collected information,"Additionally, we may enable you to “like” a product within our Services. If you choose to ""like"" or ""share"" content or to otherwise post information from or via the Services to a third-party web site, feature or application, that information may be publicly displayed, and the third-party web site may have access to information about you and your use of our Services.",,otherwise displayed site product web post publicly use service access may content application like choose within share information via enable feature additionally
31,chegg.com,privacy policy,how use collected information,"Your browsing activity may be tracked across different websites and different devices or apps, as example, we may attempt to match your browsing activity on your mobile device with your browsing activity on your laptop and to do this our technology partners may share data, such as your browsing patterns, geo-location and device identifiers, and will match the information of the browser and devices that appear to be used by the same person.",,different data used person attempt appear apps technology browser may browsing match information identifier share website activity mobile pattern tracked partner device across laptop example
32,chegg.com,privacy policy,how use collected information,We display personal testimonials of satisfied customers on our Services in addition to other endorsements. ,,personal addition display customer satisfied endorsement testimonial service
33,chegg.com,privacy policy,Changes and updates," With your consent we may post your testimonial along with your name and if you wish to update or delete your testimonial, you can contact us ",,delete testimonial name post u consent may along update wish contact
34,chegg.com,privacy policy,Third Parties and Online Advertising,"The Services may contain links to other websites, and other websites may reference or link to our website or other Services and these other websites are not controlled by us. ",,may controlled reference contain link u website service
35,chegg.com,privacy policy,Third Parties and Online Advertising,These advertising partners may use this information (and similar information collected from other websites) for purposes of delivering targeted advertisements to you when you visit the third-party websites within their networks. ,,advertising delivering targeted use may purpose information within website similar visit partner collected advertisement network
36,chegg.com,privacy policy,Third Parties and Online Advertising,"We may allow access to other data collected by the Services to share information that may be useful, relevant, valuable or otherwise of interest to you. If you prefer not to share your personal information with third-party advertising partners",,otherwise allow advertising data useful relevant service prefer access may information share personal partner collected valuable interest
37,chegg.com,privacy policy,Third Parties and Online Advertising,"Through our Services, we may allow third-party advertising partners to set technologies and other tracking tools to collect information regarding your activities and your device (e.g., your IP address, mobile identifiers, page(s) visited, location, time of day).",,address allow advertising set tracking visited technology day service location tool may time information identifier activity mobile collect page partner device regarding ip
38,chegg.com,privacy policy,Third Parties and Online Advertising,"We may also send you certain non-promotional communications regarding us and our Services, and you will not be able to opt out of those communications (e.g., communications regarding the Services or updates to our Terms or this Privacy Policy",,communication privacy send term opt u service certain may able policy update also regarding
39,chegg.com,privacy policy,Third Parties and Online Advertising, We may use third-party APIs and software development kits (“SDKs”) as part of the functionality of our Services and APIs and SDKs may allow third parties including analytics and advertising partners to collect your personal information for various purposes including to provide analytics services and content that is more relevant to you. ,,kit allow advertising development functionality provide relevant part use service apis may content analytics purpose third information various collect personal including partner party sdks software
40,chegg.com,privacy policy,share or transfer data,"Our Services may include publicly accessible blogs, forums, social media pages, and private messaging features. ",,medium may include social page private feature forum publicly messaging accessible blog service
41,chegg.com,privacy policy,share or transfer data,"By using such Services, you assume the risk that the personal information provided by you may be viewed and used by third parties for any number of purposes. ",,used risk number provided service may purpose third information assume personal party viewed using
42,chegg.com,privacy policy,share or transfer data," In addition, social media buttons such as Facebook, Instagram, YouTube, Twitter, Pinterest, and LinkedIn (that might include widgets such as the “share this” button or other interactive mini-programs) may be on our site and these features may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the feature to function properly. ",,widget enable address set visiting cookie interactive site properly pinterest linkedin might youtube include twitter function may social instagram button share addition medium feature collect page facebook ip
43,chegg.com,privacy policy,share or transfer data,These social media features are either hosted by a third party or hosted directly on our site. Your interactions with these features apart from your visit to our site are governed by the privacy policy of the company providing it.,,apart privacy site directly either interaction governed social providing third company feature medium visit party hosted policy
44,chegg.com,privacy policy,share or transfer data,"If you receive an unwanted email from us, you can use the unsubscribe link found at the bottom of the email to opt out of receiving future emails. ",,email bottom link opt u use unsubscribe future receiving unwanted found receive
45,chegg.com,privacy policy,share or transfer data,"We process requests to be placed on do-not-mail, do-not-phone and do-not-contact lists as required by applicable law.",,request list applicable placed law required process
46,chegg.com,privacy policy,share or transfer data, We may also combine and share such information and other information (such as demographic information and past purchase history) with third-party advertising partners. ,,history purchase may advertising partner information past share also combine demographic
47,chegg.com,privacy policy,share or transfer data,"We may share information that we may collect from you, such as your email (in hashed, de-identified form), IP address, or information about your browser or operating system with our partner, LiveRamp Inc and its group companies (“LiveRamp”). ",,email address operating browser may form information share collect company liveramp hashed system partner inc group ip
48,chegg.com,privacy policy,share or transfer data,"We may access, preserve, and disclose any information we store associated with you to external parties if we, in good faith, believe doing so is required or appropriate to: comply with law enforcement or national security requests and legal process, such as a court order or subpoena; protect your, our or others’ rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity.",,appropriate faith illegal comply national required others enforce request enforcement order prosecution amount u property safety assist process believe access may owed store external security contract investigation information disclose law legal actual good preserve right collect activity protect party policy associated subpoena suspected court
